Strategy,Sharpe,Sortino,Volatility,CAGR,Max Drawdown,Hit Ratio,Trades,Avg Profit/Trade,Ticker,Z_threshold,MOM_threshold,Transaction_cost
Momentum,0.72,0.95,0.81,0.29,4.84,0.45,7,0.0012,PTON,2.0,0.025,0.0005
Combined,0.58,0.36,0.26,0.13,0.5,0.05,8,-0.009,PTON,2.0,0.025,0.0005
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,2.0,0.025,0.0005
Mean Reversion,-0.18,-0.22,0.63,-0.28,2.28,0.4,5,0.0387,ROKU,2.0,0.025,0.0005
Momentum,-0.0,-0.0,0.66,-0.2,2.19,0.43,19,-0.0108,ROKU,2.0,0.025,0.0005
Combined,-0.44,-0.2,0.24,-0.12,0.56,0.08,19,-0.006,ROKU,2.0,0.025,0.0005
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,2.0,0.025,0.0005
Mean Reversion,0.76,1.03,0.41,0.25,0.8,0.42,11,-0.0118,LVS,2.0,0.025,0.0005
Momentum,-0.33,-0.41,0.41,-0.2,1.11,0.45,19,0.0021,LVS,2.0,0.025,0.0005
Combined,0.61,0.34,0.13,0.08,0.33,0.08,22,-0.001,LVS,2.0,0.025,0.0005
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,2.0,0.025,0.0005
Mean Reversion,0.09,0.11,0.69,-0.17,1.34,0.38,4,0.0166,U,2.0,0.025,0.0005
Momentum,-0.07,-0.09,0.7,-0.26,1.82,0.42,12,-0.0008,U,2.0,0.025,0.0005
Combined,0.08,0.04,0.28,-0.02,0.54,0.07,13,-0.0104,U,2.0,0.025,0.0005
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,2.0,0.025,0.0005
Mean Reversion,0.12,0.16,0.77,-0.19,1.54,0.41,6,-0.0496,RUN,2.0,0.025,0.0005
Momentum,-0.24,-0.3,0.78,-0.39,3.49,0.44,21,0.01,RUN,2.0,0.025,0.0005
Combined,-0.07,-0.05,0.54,-0.17,1.66,0.21,20,-0.0057,RUN,2.0,0.025,0.0005
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,2.0,0.025,0.0005
Mean Reversion,0.33,0.3,0.36,0.06,0.96,0.21,2,0.0028,DOCN,2.0,0.025,0.0005
Momentum,-0.56,-0.69,0.59,-0.4,1.42,0.39,13,0.0074,DOCN,2.0,0.025,0.0005
Combined,-0.46,-0.25,0.24,-0.13,0.93,0.1,10,0.0048,DOCN,2.0,0.025,0.0005
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,2.0,0.025,0.0005
Mean Reversion,0.82,0.93,0.19,0.15,0.45,0.45,4,0.0006,SPY,2.0,0.025,0.0005
Momentum,0.19,0.22,0.19,0.02,0.59,0.47,13,0.0015,SPY,2.0,0.025,0.0005
Combined,0.84,0.79,0.11,0.09,0.38,0.31,13,0.0007,SPY,2.0,0.025,0.0005
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,2.0,0.025,0.0005
Mean Reversion,-0.52,-0.7,0.29,-0.18,0.78,0.41,5,-0.0011,AAPL,2.0,0.025,0.0005
Momentum,0.55,0.68,0.29,0.12,0.93,0.45,11,-0.0046,AAPL,2.0,0.025,0.0005
Combined,0.0,0.0,0.14,-0.01,0.43,0.06,14,-0.0031,AAPL,2.0,0.025,0.0005
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,2.0,0.025,0.0005
Mean Reversion,-0.61,-0.76,0.28,-0.19,0.96,0.4,2,0.0123,MSFT,2.0,0.025,0.0005
Momentum,0.16,0.18,0.28,0.0,0.63,0.46,11,-0.0196,MSFT,2.0,0.025,0.0005
Combined,-0.4,-0.24,0.19,-0.09,0.47,0.12,9,-0.0203,MSFT,2.0,0.025,0.0005
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,2.0,0.025,0.0005
Mean Reversion,-0.39,-0.53,0.3,-0.15,1.57,0.38,5,0.024,GOOGL,2.0,0.025,0.0005
Momentum,0.09,0.12,0.3,-0.02,1.07,0.46,15,-0.0086,GOOGL,2.0,0.025,0.0005
Combined,-0.61,-0.27,0.09,-0.06,0.57,0.05,12,-0.0018,GOOGL,2.0,0.025,0.0005
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,2.0,0.025,0.0005
Mean Reversion,-0.84,-1.07,0.49,-0.41,1.29,0.38,5,0.0201,NVDA,2.0,0.025,0.0005
Momentum,0.84,1.23,0.5,0.34,3.2,0.46,11,-0.0224,NVDA,2.0,0.025,0.0005
Combined,-0.23,-0.07,0.14,-0.04,0.41,0.01,12,-0.0088,NVDA,2.0,0.025,0.0005
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,2.0,0.025,0.0005
Mean Reversion,0.15,0.2,0.33,-0.01,1.45,0.42,11,0.0012,AMZN,2.0,0.025,0.0005
Momentum,0.1,0.13,0.33,-0.02,0.7,0.43,18,-0.0056,AMZN,2.0,0.025,0.0005
Combined,0.45,0.24,0.11,0.04,0.3,0.06,20,0.0001,AMZN,2.0,0.025,0.0005
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,2.0,0.025,0.0005
Mean Reversion,-0.41,-0.53,0.86,-0.52,1.13,0.43,4,-0.0083,PLUG,2.0,0.025,0.001
Momentum,0.25,0.35,0.86,-0.14,24.48,0.43,13,-0.0122,PLUG,2.0,0.025,0.001
Combined,-0.18,-0.13,0.39,-0.14,0.91,0.14,11,-0.012,PLUG,2.0,0.025,0.001
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,2.0,0.025,0.001
Mean Reversion,0.33,0.36,0.93,-0.14,1.03,0.44,5,-0.0269,FUBO,2.0,0.025,0.001
Momentum,0.02,0.03,0.96,-0.37,1.4,0.42,22,0.003,FUBO,2.0,0.025,0.001
Combined,0.29,0.25,0.68,-0.05,2.45,0.27,21,-0.0013,FUBO,2.0,0.025,0.001
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,2.0,0.025,0.001
Mean Reversion,-0.77,-0.89,1.05,-0.75,2.89,0.4,4,0.0124,RIOT,2.0,0.025,0.001
Momentum,0.67,1.06,1.07,0.17,25.9,0.43,14,0.0392,RIOT,2.0,0.025,0.001
Combined,-0.26,-0.14,0.36,-0.15,0.82,0.08,14,0.0196,RIOT,2.0,0.025,0.001
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,2.0,0.025,0.001
Mean Reversion,-0.69,-0.94,0.62,-0.46,1.06,0.39,3,0.0057,SOFI,2.0,0.025,0.001
Momentum,0.29,0.36,0.62,-0.02,1.71,0.4,13,0.0246,SOFI,2.0,0.025,0.001
Combined,-0.46,-0.27,0.27,-0.15,0.7,0.09,12,0.0195,SOFI,2.0,0.025,0.001
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,2.0,0.025,0.001
Mean Reversion,0.19,0.25,1.04,-0.29,1.0,0.37,6,-0.0202,BCLI,2.0,0.025,0.001
Momentum,-0.44,-0.45,1.05,-0.66,3.35,0.42,19,-0.0186,BCLI,2.0,0.025,0.001
Combined,-0.32,-0.15,0.35,-0.16,0.77,0.08,16,-0.0126,BCLI,2.0,0.025,0.001
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,2.0,0.025,0.001
Mean Reversion,0.07,0.06,0.84,-0.33,1.65,0.39,3,0.0309,SNDL,2.0,0.025,0.001
Momentum,0.05,0.05,1.08,-0.62,3.66,0.4,11,-0.0042,SNDL,2.0,0.025,0.001
Combined,0.3,0.18,0.39,0.04,0.74,0.13,11,0.0049,SNDL,2.0,0.025,0.001
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,2.0,0.025,0.001
Mean Reversion,-0.7,-0.78,1.29,-0.86,1.18,0.43,2,-0.1301,MARA,2.0,0.025,0.001
Momentum,0.66,0.99,1.29,0.05,34.41,0.44,10,-0.016,MARA,2.0,0.025,0.001
Combined,-0.06,-0.05,0.7,-0.25,3.93,0.16,10,-0.0195,MARA,2.0,0.025,0.001
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,2.0,0.025,0.001
Mean Reversion,-0.53,-0.48,0.73,-0.59,1.26,0.41,9,0.0045,LUMN,2.0,0.025,0.001
Momentum,0.5,0.79,0.74,0.14,1.91,0.42,17,-0.0033,LUMN,2.0,0.025,0.001
Combined,-0.19,-0.07,0.09,-0.02,0.25,0.03,12,0.01,LUMN,2.0,0.025,0.001
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,2.0,0.025,0.001
Mean Reversion,0.0,0.0,0.67,-0.2,1.65,0.41,6,-0.0531,OPK,2.0,0.025,0.001
Momentum,-0.5,-0.6,0.67,-0.43,1.26,0.39,20,0.0115,OPK,2.0,0.025,0.001
Combined,-0.76,-0.37,0.23,-0.19,0.93,0.07,18,-0.0052,OPK,2.0,0.025,0.001
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,2.0,0.025,0.001
Mean Reversion,-0.54,-0.63,0.48,-0.32,1.75,0.41,3,0.0203,FSLR,2.0,0.025,0.001
Momentum,0.11,0.16,0.49,-0.06,0.92,0.42,17,0.0011,FSLR,2.0,0.025,0.001
Combined,-0.37,-0.25,0.25,-0.11,1.11,0.11,13,0.003,FSLR,2.0,0.025,0.001
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,2.0,0.025,0.001
Mean Reversion,-0.3,-0.42,0.49,-0.24,1.41,0.4,6,0.0123,ALB,2.0,0.025,0.001
Momentum,0.12,0.16,0.49,-0.06,2.21,0.44,17,-0.0015,ALB,2.0,0.025,0.001
Combined,-0.25,-0.11,0.17,-0.05,0.56,0.05,16,-0.0039,ALB,2.0,0.025,0.001
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,2.0,0.025,0.001
Mean Reversion,-0.03,-0.04,0.69,-0.23,1.64,0.41,6,-0.008,ENPH,2.0,0.025,0.001
Momentum,0.48,0.61,0.7,0.09,2.41,0.45,16,0.0152,ENPH,2.0,0.025,0.001
Combined,0.46,0.35,0.34,0.1,0.76,0.11,18,0.0136,ENPH,2.0,0.025,0.001
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,2.0,0.025,0.001
Mean Reversion,-0.63,-0.93,0.6,-0.43,1.01,0.4,3,0.0055,CHWY,2.0,0.025,0.001
Momentum,0.45,0.58,0.6,0.09,2.88,0.43,9,0.0008,CHWY,2.0,0.025,0.001
Combined,-0.41,-0.2,0.16,-0.07,0.48,0.04,6,0.0024,CHWY,2.0,0.025,0.001
Buy & Hold,0.31,0.53,0.65,-0.0,2.96,0.49,-,-,CHWY,2.0,0.025,0.001
Mean Reversion,-0.29,-0.43,0.8,-0.43,0.95,0.39,5,-0.0701,PTON,2.0,0.025,0.001
Momentum,0.72,0.95,0.81,0.29,4.83,0.45,7,0.0002,PTON,2.0,0.025,0.001
Combined,0.57,0.36,0.26,0.13,0.5,0.05,8,-0.0095,PTON,2.0,0.025,0.001
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,2.0,0.025,0.001
Mean Reversion,-0.19,-0.22,0.63,-0.28,2.28,0.4,5,0.0378,ROKU,2.0,0.025,0.001
Momentum,-0.01,-0.01,0.66,-0.2,2.18,0.43,19,-0.0117,ROKU,2.0,0.025,0.001
Combined,-0.44,-0.2,0.24,-0.13,0.56,0.08,19,-0.0065,ROKU,2.0,0.025,0.001
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,2.0,0.025,0.001
Mean Reversion,0.75,1.03,0.41,0.25,0.79,0.42,11,-0.0128,LVS,2.0,0.025,0.001
Momentum,-0.34,-0.42,0.41,-0.2,1.11,0.45,19,0.0012,LVS,2.0,0.025,0.001
Combined,0.59,0.33,0.13,0.07,0.33,0.08,22,-0.0015,LVS,2.0,0.025,0.001
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,2.0,0.025,0.001
Mean Reversion,0.08,0.11,0.69,-0.17,1.34,0.38,4,0.0157,U,2.0,0.025,0.001
Momentum,-0.07,-0.09,0.7,-0.26,1.82,0.42,12,-0.0017,U,2.0,0.025,0.001
Combined,0.07,0.04,0.28,-0.02,0.55,0.07,13,-0.0109,U,2.0,0.025,0.001
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,2.0,0.025,0.001
Mean Reversion,0.12,0.16,0.77,-0.19,1.54,0.41,6,-0.0505,RUN,2.0,0.025,0.001
Momentum,-0.24,-0.3,0.78,-0.39,3.48,0.44,21,0.0091,RUN,2.0,0.025,0.001
Combined,-0.07,-0.06,0.54,-0.17,1.66,0.21,20,-0.0062,RUN,2.0,0.025,0.001
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,2.0,0.025,0.001
Mean Reversion,0.33,0.3,0.36,0.06,0.96,0.21,2,0.002,DOCN,2.0,0.025,0.001
Momentum,-0.57,-0.69,0.59,-0.4,1.43,0.39,13,0.0064,DOCN,2.0,0.025,0.001
Combined,-0.47,-0.25,0.24,-0.14,0.94,0.1,10,0.0043,DOCN,2.0,0.025,0.001
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,2.0,0.025,0.001
Mean Reversion,0.82,0.93,0.19,0.15,0.45,0.45,4,-0.0003,SPY,2.0,0.025,0.001
Momentum,0.18,0.21,0.19,0.02,0.59,0.47,13,0.0006,SPY,2.0,0.025,0.001
Combined,0.83,0.78,0.11,0.09,0.39,0.31,13,0.0002,SPY,2.0,0.025,0.001
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,2.0,0.025,0.001
Mean Reversion,-0.52,-0.71,0.29,-0.18,0.78,0.41,5,-0.002,AAPL,2.0,0.025,0.001
Momentum,0.54,0.68,0.29,0.12,0.93,0.45,11,-0.0056,AAPL,2.0,0.025,0.001
Combined,-0.01,-0.0,0.14,-0.01,0.43,0.06,14,-0.0036,AAPL,2.0,0.025,0.001
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,2.0,0.025,0.001
Mean Reversion,-0.61,-0.76,0.28,-0.19,0.96,0.4,2,0.0115,MSFT,2.0,0.025,0.001
Momentum,0.15,0.18,0.28,0.0,0.63,0.46,11,-0.0205,MSFT,2.0,0.025,0.001
Combined,-0.4,-0.25,0.19,-0.09,0.47,0.12,9,-0.0208,MSFT,2.0,0.025,0.001
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,2.0,0.025,0.001
Mean Reversion,-0.4,-0.54,0.3,-0.15,1.57,0.38,5,0.0231,GOOGL,2.0,0.025,0.001
Momentum,0.09,0.11,0.3,-0.02,1.07,0.46,15,-0.0096,GOOGL,2.0,0.025,0.001
Combined,-0.62,-0.27,0.09,-0.06,0.57,0.05,12,-0.0023,GOOGL,2.0,0.025,0.001
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,2.0,0.025,0.001
Mean Reversion,-0.84,-1.07,0.49,-0.41,1.29,0.38,5,0.0192,NVDA,2.0,0.025,0.001
Momentum,0.84,1.22,0.5,0.34,3.2,0.46,11,-0.0234,NVDA,2.0,0.025,0.001
Combined,-0.23,-0.08,0.14,-0.04,0.41,0.01,12,-0.0093,NVDA,2.0,0.025,0.001
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,2.0,0.025,0.001
Mean Reversion,0.14,0.19,0.33,-0.01,1.44,0.42,11,0.0002,AMZN,2.0,0.025,0.001
Momentum,0.09,0.12,0.33,-0.02,0.7,0.43,18,-0.0066,AMZN,2.0,0.025,0.001
Combined,0.43,0.24,0.11,0.04,0.3,0.06,20,-0.0004,AMZN,2.0,0.025,0.001
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,2.0,0.025,0.001
Mean Reversion,-0.42,-0.53,0.86,-0.52,1.13,0.43,4,-0.0101,PLUG,2.0,0.025,0.002
Momentum,0.25,0.34,0.86,-0.15,24.47,0.43,13,-0.0142,PLUG,2.0,0.025,0.002
Combined,-0.19,-0.14,0.39,-0.14,0.91,0.14,11,-0.013,PLUG,2.0,0.025,0.002
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,2.0,0.025,0.002
Mean Reversion,0.32,0.36,0.93,-0.14,1.03,0.44,5,-0.0287,FUBO,2.0,0.025,0.002
Momentum,0.01,0.02,0.96,-0.37,1.38,0.42,22,0.0011,FUBO,2.0,0.025,0.002
Combined,0.29,0.24,0.68,-0.05,2.42,0.27,21,-0.0023,FUBO,2.0,0.025,0.002
Buy & Hold,0.19,0.32,1.08,-0.3,6.1,0.42,-,-,FUBO,2.0,0.025,0.002
Mean Reversion,-0.77,-0.89,1.05,-0.75,2.88,0.4,4,0.0106,RIOT,2.0,0.025,0.002
Momentum,0.67,1.06,1.07,0.17,25.88,0.43,14,0.0373,RIOT,2.0,0.025,0.002
Combined,-0.27,-0.15,0.36,-0.15,0.83,0.08,14,0.0186,RIOT,2.0,0.025,0.002
Buy & Hold,0.82,1.55,1.14,0.35,43.63,0.46,-,-,RIOT,2.0,0.025,0.002
Mean Reversion,-0.69,-0.94,0.62,-0.46,1.05,0.39,3,0.004,SOFI,2.0,0.025,0.002
Momentum,0.28,0.35,0.62,-0.02,1.72,0.4,13,0.0227,SOFI,2.0,0.025,0.002
Combined,-0.47,-0.28,0.27,-0.15,0.71,0.09,12,0.0185,SOFI,2.0,0.025,0.002
Buy & Hold,0.44,0.84,0.76,0.06,1.76,0.48,-,-,SOFI,2.0,0.025,0.002
Mean Reversion,0.18,0.24,1.04,-0.3,1.0,0.37,6,-0.022,BCLI,2.0,0.025,0.002
Momentum,-0.44,-0.45,1.05,-0.66,3.33,0.42,19,-0.0206,BCLI,2.0,0.025,0.002
Combined,-0.33,-0.15,0.35,-0.17,0.77,0.08,16,-0.0136,BCLI,2.0,0.025,0.002
Buy & Hold,0.08,0.1,1.05,-0.4,5.1,0.44,-,-,BCLI,2.0,0.025,0.002
Mean Reversion,0.07,0.06,0.84,-0.33,1.65,0.39,3,0.0292,SNDL,2.0,0.025,0.002
Momentum,0.05,0.05,1.08,-0.62,3.65,0.4,11,-0.0061,SNDL,2.0,0.025,0.002
Combined,0.3,0.18,0.39,0.04,0.74,0.13,11,0.0039,SNDL,2.0,0.025,0.002
Buy & Hold,-0.02,-0.04,1.25,-0.51,1.52,0.42,-,-,SNDL,2.0,0.025,0.002
Mean Reversion,-0.7,-0.78,1.29,-0.86,1.18,0.43,2,-0.1316,MARA,2.0,0.025,0.002
Momentum,0.66,0.99,1.29,0.04,34.25,0.44,10,-0.0179,MARA,2.0,0.025,0.002
Combined,-0.06,-0.05,0.7,-0.26,3.92,0.16,10,-0.0205,MARA,2.0,0.025,0.002
Buy & Hold,0.93,1.88,1.37,0.5,47.99,0.45,-,-,MARA,2.0,0.025,0.002
Mean Reversion,-0.53,-0.48,0.73,-0.59,1.24,0.41,9,0.0026,LUMN,2.0,0.025,0.002
Momentum,0.5,0.78,0.74,0.13,1.85,0.42,17,-0.0052,LUMN,2.0,0.025,0.002
Combined,-0.21,-0.08,0.09,-0.02,0.25,0.03,12,0.009,LUMN,2.0,0.025,0.002
Buy & Hold,0.18,0.28,0.75,-0.12,1.13,0.47,-,-,LUMN,2.0,0.025,0.002
Mean Reversion,-0.0,-0.0,0.67,-0.2,1.64,0.41,6,-0.055,OPK,2.0,0.025,0.002
Momentum,-0.51,-0.61,0.67,-0.44,1.26,0.39,20,0.0096,OPK,2.0,0.025,0.002
Combined,-0.77,-0.38,0.23,-0.19,0.94,0.07,18,-0.0062,OPK,2.0,0.025,0.002
Buy & Hold,0.17,0.24,0.7,-0.13,1.56,0.46,-,-,OPK,2.0,0.025,0.002
Mean Reversion,-0.54,-0.64,0.48,-0.32,1.75,0.41,3,0.0186,FSLR,2.0,0.025,0.002
Momentum,0.1,0.14,0.49,-0.07,0.92,0.42,17,-0.0008,FSLR,2.0,0.025,0.002
Combined,-0.38,-0.26,0.25,-0.12,1.12,0.11,13,0.002,FSLR,2.0,0.025,0.002
Buy & Hold,0.72,1.14,0.51,0.27,2.93,0.51,-,-,FSLR,2.0,0.025,0.002
Mean Reversion,-0.31,-0.42,0.49,-0.24,1.41,0.4,6,0.0105,ALB,2.0,0.025,0.002
Momentum,0.11,0.15,0.49,-0.06,2.2,0.44,17,-0.0035,ALB,2.0,0.025,0.002
Combined,-0.26,-0.12,0.17,-0.06,0.57,0.05,16,-0.0049,ALB,2.0,0.025,0.002
Buy & Hold,0.31,0.44,0.51,0.03,3.38,0.51,-,-,ALB,2.0,0.025,0.002
Mean Reversion,-0.04,-0.05,0.69,-0.23,1.63,0.41,6,-0.0098,ENPH,2.0,0.025,0.002
Momentum,0.47,0.6,0.7,0.09,2.36,0.45,16,0.0132,ENPH,2.0,0.025,0.002
Combined,0.45,0.34,0.34,0.1,0.75,0.11,18,0.0126,ENPH,2.0,0.025,0.002
Buy & Hold,0.96,1.44,0.75,0.56,56.2,0.53,-,-,ENPH,2.0,0.025,0.002
Mean Reversion,-0.63,-0.93,0.6,-0.43,1.01,0.4,3,0.0038,CHWY,2.0,0.025,0.002
Momentum,0.44,0.57,0.6,0.09,2.87,0.43,9,-0.0011,CHWY,2.0,0.025,0.002
Combined,-0.41,-0.2,0.16,-0.07,0.48,0.04,6,0.0014,CHWY,2.0,0.025,0.002
Buy & Hold,0.31,0.53,0.65,-0.0,2.96,0.49,-,-,CHWY,2.0,0.025,0.002
Mean Reversion,-0.29,-0.43,0.8,-0.43,0.95,0.39,5,-0.0719,PTON,2.0,0.025,0.002
Momentum,0.72,0.95,0.81,0.28,4.81,0.45,7,-0.0016,PTON,2.0,0.025,0.002
Combined,0.57,0.36,0.26,0.13,0.5,0.05,8,-0.0105,PTON,2.0,0.025,0.002
Buy & Hold,0.2,0.31,0.86,-0.18,6.39,0.49,-,-,PTON,2.0,0.025,0.002
Mean Reversion,-0.19,-0.23,0.63,-0.28,2.27,0.4,5,0.036,ROKU,2.0,0.025,0.002
Momentum,-0.02,-0.02,0.66,-0.21,2.15,0.43,19,-0.0137,ROKU,2.0,0.025,0.002
Combined,-0.46,-0.21,0.24,-0.13,0.57,0.08,19,-0.0075,ROKU,2.0,0.025,0.002
Buy & Hold,0.55,0.84,0.73,0.15,13.55,0.51,-,-,ROKU,2.0,0.025,0.002
Mean Reversion,0.74,1.01,0.41,0.25,0.78,0.42,11,-0.0147,LVS,2.0,0.025,0.002
Momentum,-0.35,-0.43,0.41,-0.21,1.12,0.45,19,-0.0008,LVS,2.0,0.025,0.002
Combined,0.57,0.32,0.13,0.07,0.33,0.08,22,-0.0025,LVS,2.0,0.025,0.002
Buy & Hold,0.22,0.33,0.43,0.0,0.84,0.49,-,-,LVS,2.0,0.025,0.002
Mean Reversion,0.08,0.11,0.69,-0.17,1.33,0.38,4,0.014,U,2.0,0.025,0.002
Momentum,-0.08,-0.1,0.7,-0.26,1.81,0.42,12,-0.0037,U,2.0,0.025,0.002
Combined,0.06,0.03,0.28,-0.02,0.55,0.07,13,-0.0119,U,2.0,0.025,0.002
Buy & Hold,0.04,0.06,0.76,-0.23,2.74,0.48,-,-,U,2.0,0.025,0.002
Mean Reversion,0.12,0.16,0.77,-0.19,1.54,0.41,6,-0.0523,RUN,2.0,0.025,0.002
Momentum,-0.25,-0.31,0.78,-0.4,3.46,0.44,21,0.0071,RUN,2.0,0.025,0.002
Combined,-0.07,-0.06,0.54,-0.17,1.65,0.21,20,-0.0072,RUN,2.0,0.025,0.002
Buy & Hold,0.37,0.58,0.8,-0.02,7.98,0.5,-,-,RUN,2.0,0.025,0.002
Mean Reversion,0.33,0.3,0.36,0.05,0.96,0.21,2,0.0005,DOCN,2.0,0.025,0.002
Momentum,-0.58,-0.71,0.59,-0.4,1.43,0.39,13,0.0045,DOCN,2.0,0.025,0.002
Combined,-0.48,-0.26,0.24,-0.14,0.94,0.1,10,0.0033,DOCN,2.0,0.025,0.002
Buy & Hold,0.25,0.38,0.68,-0.06,2.6,0.49,-,-,DOCN,2.0,0.025,0.002
Mean Reversion,0.81,0.92,0.19,0.15,0.45,0.45,4,-0.002,SPY,2.0,0.025,0.002
Momentum,0.16,0.18,0.19,0.01,0.61,0.47,13,-0.0013,SPY,2.0,0.025,0.002
Combined,0.81,0.76,0.11,0.08,0.4,0.31,13,-0.0008,SPY,2.0,0.025,0.002
Buy & Hold,0.9,1.09,0.2,0.17,0.49,0.56,-,-,SPY,2.0,0.025,0.002
Mean Reversion,-0.53,-0.71,0.29,-0.18,0.78,0.41,5,-0.0038,AAPL,2.0,0.025,0.002
Momentum,0.53,0.66,0.29,0.12,0.94,0.45,11,-0.0075,AAPL,2.0,0.025,0.002
Combined,-0.02,-0.01,0.14,-0.01,0.43,0.06,14,-0.0046,AAPL,2.0,0.025,0.002
Buy & Hold,1.18,1.64,0.31,0.37,1.47,0.54,-,-,AAPL,2.0,0.025,0.002
Mean Reversion,-0.61,-0.76,0.28,-0.19,0.96,0.4,2,0.01,MSFT,2.0,0.025,0.002
Momentum,0.14,0.16,0.28,-0.0,0.63,0.46,11,-0.0224,MSFT,2.0,0.025,0.002
Combined,-0.41,-0.25,0.19,-0.09,0.47,0.12,9,-0.0218,MSFT,2.0,0.025,0.002
Buy & Hold,1.01,1.38,0.29,0.28,1.3,0.54,-,-,MSFT,2.0,0.025,0.002
Mean Reversion,-0.4,-0.54,0.3,-0.15,1.57,0.38,5,0.0213,GOOGL,2.0,0.025,0.002
Momentum,0.07,0.09,0.3,-0.02,1.08,0.46,15,-0.0115,GOOGL,2.0,0.025,0.002
Combined,-0.64,-0.29,0.09,-0.06,0.58,0.05,12,-0.0033,GOOGL,2.0,0.025,0.002
Buy & Hold,0.85,1.17,0.31,0.24,1.26,0.54,-,-,GOOGL,2.0,0.025,0.002
Mean Reversion,-0.85,-1.07,0.49,-0.42,1.28,0.38,5,0.0174,NVDA,2.0,0.025,0.002
Momentum,0.83,1.21,0.5,0.34,3.19,0.46,11,-0.0253,NVDA,2.0,0.025,0.002
Combined,-0.25,-0.08,0.14,-0.04,0.41,0.01,12,-0.0103,NVDA,2.0,0.025,0.002
Buy & Hold,1.45,2.29,0.52,0.86,10.85,0.55,-,-,NVDA,2.0,0.025,0.002
Mean Reversion,0.13,0.18,0.33,-0.01,1.42,0.42,11,-0.0017,AMZN,2.0,0.025,0.002
Momentum,0.07,0.09,0.33,-0.03,0.71,0.43,18,-0.0085,AMZN,2.0,0.025,0.002
Combined,0.4,0.22,0.11,0.04,0.29,0.06,20,-0.0014,AMZN,2.0,0.025,0.002
Buy & Hold,0.69,0.99,0.34,0.19,1.36,0.52,-,-,AMZN,2.0,0.025,0.002
Mean Reversion,-0.41,-0.53,0.86,-0.52,1.13,0.43,4,-0.0067,PLUG,2.0,0.03,0.0001
Momentum,0.26,0.35,0.86,-0.14,24.49,0.43,13,-0.0105,PLUG,2.0,0.03,0.0001
Combined,-0.18,-0.13,0.39,-0.14,0.91,0.14,11,-0.0111,PLUG,2.0,0.03,0.0001
Buy & Hold,0.54,0.91,0.89,0.09,53.81,0.46,-,-,PLUG,2.0,0.03,0.0001
Mean Reversion,0.33,0.36,0.93,-0.14,1.03,0.44,5,-0.0252,FUBO,2.0,0.03,0.0001
